geneID,ncbiID,FAS_F,FAS_B,gene1d_x,gene2d_x,gene2d_y,gene3d_x,gene3d_y,gene3d_z
gene_3,ncbi4896,0.2533587420573392,0.1488362226190157,8.598183,0.7010093,3.654048,4.880064,9.247072,5.8655105
gene_5,ncbi4896,1.0,0.8319926344217748,6.035023,3.576343,5.38077,5.6237717,7.8006954,4.5593505
gene_15,ncbi4896,1.0,0.904476071798598,5.043551,3.7576373,5.052322,5.749716,7.8336215,5.1626678
gene_17,ncbi4896,0.5914320144939954,0.5057392715870545,10.618183,2.4416375,1.8220483,3.1631837,7.898908,6.4333076
gene_18,ncbi4896,0.5676614146974001,0.422044853694181,8.650636,3.00174,1.1161977,4.8716307,9.022034,6.454273
gene_24,ncbi4896,0.9597804336164864,0.5627211429792263,7.1661844,3.611269,2.7079854,4.7506323,7.8992343,6.7293725
gene_25,ncbi4896,0.2982848128044776,0.3338061254287521,8.478969,1.584925,0.7998588,3.8007853,9.843528,5.953625
gene_28,ncbi4896,0.3660515614214501,0.1352236466872561,5.4106693,3.4362347,1.1291466,5.649269,7.574838,5.9324384
gene_29,ncbi4896,1.0,0.999932782550658,7.941163,2.4321177,3.451729,4.0525246,7.9217443,5.544235
gene_30,ncbi4896,0.1121964478021389,0.276222612315593,9.710037,2.9060621,3.8531752,3.8035223,9.480624,4.8286223
gene_32,ncbi4896,0.7699022217702539,1.0,6.9088855,3.8197412,2.5359542,4.8492537,7.890157,6.593264
gene_34,ncbi4896,1.0,0.8700979513783116,13.334914,0.9482914,1.4478383,3.1780107,9.557216,5.442003
gene_36,ncbi4896,0.908950663772244,0.6607274560219998,6.4714684,2.3357344,2.9553828,4.861984,8.383441,6.229549
gene_42,ncbi4896,0.186483800712425,0.1574976291242324,6.478278,3.4350343,3.9628046,4.3414845,8.456232,5.600307
gene_43,ncbi4896,1.0,0.6039276125590021,9.980852,1.9821296,3.7584941,3.8655543,8.424636,4.9561553
gene_47,ncbi4896,0.52048386963585,0.0943801729913241,11.203771,1.1855278,1.7171795,3.2921643,9.721654,5.167454
gene_48,ncbi4896,0.4873772490125131,0.0720826441535825,11.384515,1.7287366,2.934548,2.8565784,7.966784,4.9404774
gene_49,ncbi4896,0.3208850085575933,0.6787630314563139,13.815585,2.5996385,1.5170097,3.6506357,9.353295,5.452913
gene_51,ncbi4896,0.9004594771889204,1.0,11.531938,0.87265086,2.2209225,2.6845896,8.9463,5.629865
gene_55,ncbi4896,1.0,1.0,11.3311,3.9382775,4.497911,5.3952885,8.362476,4.7072315
gene_60,ncbi4896,0.6443992926022644,0.9776489777739724,8.732002,0.86423033,3.6031249,4.6206594,9.031999,5.6409225
gene_66,ncbi4896,0.7629692301942681,0.5115355167374176,6.927721,2.0637054,2.0666306,3.0099728,7.3922606,5.6135116
